"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"210222_s_at",-1.9189919503155,10.427810142257,-9.80137575197098,3.39280848630406e-18,1.93231045821536e-15,30.7685939164939
"201592_at",-1.18579934440635,9.56296474739116,-9.79757835820313,3.47470643103462e-18,1.95855231048266e-15,30.7453178622266
"228027_at",-1.44730980257455,11.0326643820078,-9.78087644023631,3.85892865727967e-18,2.13698198157065e-15,30.6429710838008
"1559375_s_at",2.32320254500605,6.53443628327374,9.78044347067654,3.86943239461352e-18,2.13698198157065e-15,30.640318506892
"202471_s_at",-1.43993152074259,7.99076781926166,-9.77608556740114,3.9767526404623e-18,2.17428950617276e-15,30.6136216007557
"202178_at",-1.15395317387651,10.5769117005813,-9.76645128029286,4.22464873148562e-18,2.28695712271264e-15,30.5546119432071
"228546_at",-1.4026011503491,11.3665467751477,-9.76017726865454,4.39429660422902e-18,2.35547222388453e-15,30.516191907804
"218190_s_at",-1.16554525559729,9.37469249358759,-9.75436645578063,4.55746433977229e-18,2.41921711434029e-15,30.4806140407091
"208002_s_at",-1.49492571436175,9.59191883817514,-9.74656996054791,4.7859066937042e-18,2.5160523892142e-15,30.4328870536735
"218625_at",-1.4722352801537,9.78683782469438,-9.74169935189363,4.93436909467758e-18,2.56939647858568e-15,30.4030761857189
"208623_s_at",1.91071832561616,8.39246523714175,9.7345268025481,5.16138650867577e-18,2.66225289964007e-15,30.3591832024383
"205489_at",-1.4550830255653,9.9776244577038,-9.72640413041797,5.4310574143185e-18,2.74984623389602e-15,30.3094860499272
"202343_x_at",-1.17652102162741,9.93061841291094,-9.72638246835163,5.43179502991806e-18,2.74984623389602e-15,30.3093535288456
"1566887_x_at",2.0520912007837,10.1440472588825,9.70348752958794,6.26990081698404e-18,3.1450167630147e-15,30.1693334590477
